Chap_Name,Scene_Name,Animation_Clip,Dialogue
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_WizTake,Take this Dingis
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_DingiHand,What is it?
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_WizHead,Never mind that for now
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_DingiHand,"But, what.."
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_WizHead,"Just know It will help you with those Dartling… er.. Darkling visitors of yours. Hide it in the Tavern, keep it safe.Noone is to know about it. "
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_DingiHand,But me Gaffer…
End_Day_3,End_Day_3_Sc_4,End_Day_3_Sc_4_WizHead,Especially that old Farmer.
End_Day_3,End_Day_2_Sc_2,End_Day_2_Sc_2_UncleHeadMove,Ole Widow Stufflebrew wants you to pay her a visit. I think she’s got something to help us with them nasty Fatlings.
End_Day_3,End_Day_2_Sc_2,End_Day_2_Sc_2_DarklingHandMove,Hmmmm….
End_Day_3,End_Day_2_Sc_2,End_Day_2_Sc_2_UncleHeadMove,"Here, take some of these chickens, along with some tasty pumpkins to Old Widow Stufflebrew.  The news of our new development here, along with some stew, may help revive her tired bones."
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_GrandMaMove,"Thank you for the chickens, but I don’t care for pumpkins youngling.  "
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_darkling,"Sorry Widow Stufflebrew, Uncle Brentas thought you might enjoy a stew from them. "
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_GrandMaMove,That fool Brentas has forgotten too much.
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_darkling,Forgotten?
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_GrandMaMove,"My mother would never have allowed a pumpkin to be grown on these lands.  She was there when our Father Bristol grew the largest pumpkin the Crest had ever seen, and was accused of using dark magic to grow it.  Fatling liars!"
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_darkling,Bristol Dartling was a farmer?
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_GrandMaMove,Is no one teaching you your own history youngling?  Our family was once the grandest farmers in the Crest!  Until we were cheated out of our land and cast out to this forsaken swamp that grows so little we turned to hunting for our well-being.
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_darkling,The foul Widebottoms are the reason for us living in these infested Swamps then? I knew it! 
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_GrandMaMove,That’s not all youngling. They murdered our Father Bristol out of petty jealousy for his winning that pumpkin contest.
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_darkling,"What!? Murder?! We can tolerate these insufferable Widebottoms no longer. Tonight I’m going with Uncle Brentas, we’ll make them pay! "
End_Day_4,End_Day_4_Sc_1,End_Day_4_Sc_1_GrandMaMove,Now you’re talking like a Dartling. Toss your nasty pumpkins into the chasm where it belongs and take up our family cause to rid this land of those Widebottoms… I may have something to aid you. I will come visit in a few days.
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,We have a problem
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_DingiMove,Problem? We do?
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,"A traveler has arrived in the crest.  He is asking questions, too many questions.  "
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_DingiMove,"Oh! Yes, yes.  We get many travelers in this area.  The Crest is quite famous for our pipe leaf you know…"
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Unfortunately this traveler is not after your Halfling leaf. He has come for the spark.
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_DingiMove,"The spark?  Who is this traveler, can we sell it to him?"
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Dimwitted Halfling.  Your leaf is slowing your wits… That spark is the only thing that can destroy the… 
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,"What will you do when those darklings come back for their land?  Stealing Chickens today, but what of tomorrow? What will you do when they come with a darkling army Halfling?  They will kill any townsfolk that stands in their way."
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_DingiMove,Army? Darklings?  What shall we do? Are they coming now?
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Why do you think I gave you that spark?
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_DingiMove,What can a shiny stone do against such evil? How do I use it? I was thinking to give it Berty Merrywaters in hopes for a goodnight kiss.
End_Day_4,Intro_Sc_3,Intro_New_Sc_3_WizardMove,"Fool! Keep it secret, keep it safe, and keep your good eye out for a suspicious traveler."
End_Day_4,End_Day_4_Sc_3,End_Day_4_Sc_3_TravHeadMove,Greetings young Halfling.
End_Day_4,End_Day_4_Sc_3,End_Day_4_Sc_3_DingiMove,"Oh, Hello! H-h-how can I h-help you?"
End_Day_4,End_Day_4_Sc_3,End_Day_4_Sc_3_TravHandMove,I am hoping you might be able to help me. I have traveled across many lands in search of something that was stolen from me. It is a precious item that has been in my family for generations.
End_Day_4,End_Day_4_Sc_3,End_Day_4_Sc_3_DingiMove,"I’m sorry to hear it. You must be very tired, traveling here n’ all.  Would you care for something to quench your thirst?"
End_Day_4,End_Day_4_Sc_3,End_Day_4_Sc_3_TravHeadMove,"I would like to ask you some questions young Halfling, but yes, I suppose some ale would not go amiss."
End_Day_4,End_Day_4_Sc_3,End_Day_4_Sc_3_DingiMove,To the Tavern then good sir
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_Idle,Old Widow Stufflebrew visits your farm.
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaWalk,Here youngling. Some stew from those chickens you brought.
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,Thank you Mistress Stufflebrew
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,Also I brought special serum for our Halfling troubles.  
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,Serum?
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,"Yes youngling.  You want to get rid of those halflings? This serum will help, and more."
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,(Darkling getting excited)What does it do?
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,There is an All Crest Pumpkin growing contest coming up. 
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,Everyone in the Crest is invited.. That means they can’t keep even us from coming.
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,I have a very large Pumpkin already growing in my garden. 
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,fiddlesticks to your blastid pumpkin. This will simply allow us to get close enough.
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,Close enough for what?
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,Pour that serum on that pumpkin you’re growing and bring it to me once its nice and plump
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,What will you do with it?
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,I will make them delicious pumpkin snaps their fatling faces won’t be able to resist.
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_DarklingHead,Will it kill those Widebottom fools?
End_Day_5,End_Day_5_Sc_1,End_Day_5_Sc_1_GrandMaArm,"Nay, but they will wish it were poison.. Those snaps will have them locked in their squatsheds for an entire moon."
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_WizHead,How is our friend doing?
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_DingiHead,"He is in the tavern, asking suspicious questions about the Spark, and talking with the townsfolk.  We can’t afford to keep distracting him with our best ale!"
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_WizHead,"You Fool, you led him to the same spot the sparks are hidden?"
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_DingiHead,"Sparks? Can’t you take him for a while, and get him out of the tavern?"
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_WizHead,No… but perhaps we can rid ourselves of his prying for a time.  Have you any pipe leaf?
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_DingiHead,"I’ve already given half the ale, now you want my leaf too??"
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_WizHead,Dimwitted Halfling… an infusement of pipe leaf with a pinch of common costmary produces a strong sleeping drought.  Potent enough to make a giant cusith sleep for days… 
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_DingiHead,"Sleep for days?  Yes, I could use some rest…"
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_WizHead,Not for you! You slowminded…  Ah hem…  For the traveler.
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_DingiHead,"Oh, yes, of course, the traveler.  Good idea."
End_Day_5,End_Day_5_Sc_2,End_Day_5_Sc_2_WizHead,"You will need an alchemy for the infusement, and somewhere for our friend to lay his head once it's administered of course."
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_Idle,As Halfling helps the traveler walk to the Inn:
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_Walk,Thank you young Halfling.  Truly your Crest Ale is as strong as legend tells.  I find myself nere able to walk…  
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_Idle_Front,Were it not for my purpose here I might find your land and hospitality quite enjoyable..
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_DingiHead,Purpose sir?
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_Idle_Front,I must find it… must return it… 
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_Idle_Front,It was stolen you see… a powerful young wizard.  Stolen from the Elders.  Must return it… too much power.  Need to destroy it… no one can possess such power…
End_Day_5,End_Day_5_Sc_3,End_Day_5_Sc_3_Idle_Front,The traveler passes out as Dingis takes him to his room.
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,Wizard comes to visit the Darkling
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,I hear you’re planning something special for the upcoming pumpkin contest?  Unfortunately the Halflings know and are making plans of their own.  
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_Darkling_Head,Those dirty Halflings!  How did they know if this? How did you know of this? What plans are they making?? 
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,"Don’t underestimate me young Dartling, or the Widebottoms hate for your family, they will stop at nothing to see you finished."
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_Darkling_Head,What can we do? 
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,hmmm. Yes.. You must beat them at their own game. Win that silly pumpkin contest.
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_Darkling_Head,"My plants barely grow in this swamp… we are hunters here, we are night people.  Not fat farming Halflings!"
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,"Yes, but there are other ways. The gift of growing runs deep in your family. "
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,Have you not heard of Bristol? He used to win that contest every year. Its time you learn of the gifts of your ancestors.
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_Darkling_Head,Bristol?  Yes Madam Stufflebrew told me he was a farmer. He was known for large pumpkins!  Won that contest!
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,"Yes, the contest that took his life."
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_Darkling_Head,You mean the fat Halflings that killed him?!
End_Day_6,End_Day_6_Sc_1,End_Day_6_Sc_1_WizHead,"Yes, those fat Halflings.  See to that pumpkin! (do we need to ad something about dont poison them with pumpkin snaps?)"
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,Hello my young friend!
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_DingiHead,"Oh, hello Regent Brimbuckle!  What brings you to my small farm?  Care for some Tea? How about some cheese?"
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,Yes thank you! You’ve developed quite a thriving farm here young sir.
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_DingiHead,Thank you Regent.  What can I do for you today?
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"Our annual pumpkin growing contest is coming up, are you planning on entering?"
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_DingiHead,"Contest?  No, no, not me, much too busy you see..."
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"Rubbish!  Of course you’re entering!  Good soil you have here you know, biggest pumpkin in all of the crest came from this here ground!  Still on record down at the town hall… why, I remember my father talking about it. He was just a boy of course… the old Darkling story if I’m correct."
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_DingiHead,Darkling Story?  What story is that Master Brimbuckle?
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"Why, you know of course!  The Darklings boy!  Just a story some say, but my father was there you see.  My grandfather was the Town Regent at the time. Halflings have lived in The Crest for as long as anyone can remember.  It is one of the oldest Halfling communities known.  "
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"5 generations ago, (nearly 150 years) the eldest of a particularly prominent family in The Crest, Bristol Dartling, was brought to community trial on the accusations of the use of dark magic to grow the biggest pumpkin these people had ever seen.  He was guilty if you ask me, but whether or not the jury thought so, no one ever found out, as during the course of the trial he was hit on the head with a large turnip, and instantly died."
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"(No one ever found out who threw the deadly turnip, but it was widely believed it sprang from –and did indeed come from the general direction of- Balbus Widebottom, who had recently come in second place in the annual pumpkin growing contest to Mr. Dartling).  Most of the townspeople knew Mr. Dartling was guilty and that the fortuitous turnip only confirmed such, however there were some, including his family and close friends, that fought adamantly in his defense to the point of causing much contention and even an uprising."
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"The contentions grew so bad in fact that all the “Dartlings”, (or “Darklings” as they began to be called), were rumored to be involved in dark magic, and were eventually forced out of their village, shunned by other villages, and were forced to find refuge across the chasm, in the most unfarmable murkiest land in the nethermost parts of the Crest."
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"They are still living there today, forgotten by civilized Crest society, living only amongst themselves, and still believing they were cheated out of their lands and reputation.  Angry they are.  They curse this land with their dark magic.  They kill our animals and steal our crops.  And more than anything else, they want their land back.  It’s there, they say, that their dark magic rooted itself into the very ground.  And they vow to take it back…."
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_DingiHead,Dear me!
End_Day_6,End_Day_6_Sc_2,End_Day_6_Sc_2_BrimbuckleHead,"Well, thanks for the tea young sir, see you at the contest!"
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_FarmerHead,Largest Pumpkin?  Trying to win that contest are you?
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_DingiHead,"Contest?  Well yes.. I just want to learn farming secrets from the best farmer in the Crest!  I’ve heard Ale helps crops grow large, and I’ve lost half my stock pouring it on my sprouts!"
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_FarmerHead,"Ale?  Foolish youngling…. There is no secret to farming, good seeds make good crops!"
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_DingiHead,Do you know anything about how Bristol Dartling died years ago?
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_FarmerHead,You mean hit in the Head by a giant turnip? (hahaha)
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_DingiHead,"Well yes, is it true we kicked the Dartlings off their own land?"
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_FarmerHead,"Poppycock, they are an evil people, thieves, and full of dark magic."
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_DingiHead,Dark Magic?
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_FarmerHead,You never seen such a pumpkin that Bristol brought to the contest that year.. Was said to have weighed over 500 stones.
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_DingiHead,wow!
End_Day_6,End_Day_6_Sc_3,End_Day_6_Sc_3_FarmerHead,"Unnatural it was, and that kind of magic is forbidden in these parts.. There be no place for people like that. "
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_Idle,"The traveler awakens in the swamp, and quickly stands, trying to remember the events that brought him here.  (screen shot, swampy night) He looks around:"
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_TravHand,"Wha… where am I? Some Festering Swamp..? He must have found me, he tried to kill me…"
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_Idle,"From behind him, the Traveler hears a voice"
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_DarklingHead,Who are you?  What are you doing here?
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_TravHand,I uh..
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_DarklingHead,"Answer my question or you will be left to fend for yourself, and I assure you, you won’t last long in this swamp."
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_TravHead,Last I remember I was at an Inn on a Halfling farm.  He lied to me and left me here for dead.  
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_DarklingHead,What do you know of Halflings?
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_TravHead,"He works at the tavern with the Wizard, he has it I tell you."
End_Day_7,End_Day_7_Sc_1,End_Day_7_Sc_1_DarklingHead,I could leave you here to die. What are you rambling about?
